names	Southeast	North-Midwest	South	Northeast
Intercept 	-399443	69908	2610770	-9264.11
A	420.49	NA	-60.44	599.05
LA	-78296	2713.076	NA	NA
LO	NA	1940.569	98839	-383.48
A^2	-0.01784	0.0008671	NA	0.00955
LA^2	-1594.04	-141.233	-1114.68	-559.01
LO^2	195.84	16.5387	938.47	NA
A^3	NA	NA	NA	NA
LA^3	NA	NA	NA	NA
LO^3	NA	NA	NA	NA
LA*A	NA	NA	NA	NA
LA^2*A	NA	NA	NA	NA
LO*A	17.77	NA	-1.185	30.24
LA*LO	-1716.27	46.014	NA	NA
LO^2*A	0.1851	0.0004417	NA	0.3739
LO^2*A^2	0.00001002	-0.000000339	NA	NA
LO^2*LA^2	1.389	0.1905	1.1885	1.0903
LA^2*LO^3	0.01364	0.00262	0.01494	0.01834
				
